state,par,parid,votes_cast,votes_spoilt,ttl_reg,turn_out
Wilayah Persekutuan (KL),CHERAS,123,63677,275,78819,81.14
Perak,BAGAN SERAI,58,47255,865,59293,81.16
Negeri Sembilan,TAMPIN,133,48466,850,60765,81.16
Pahang,PAYA BESAR,84,44100,671,55135,81.2
Perlis,KANGAR,2,44680,806,55938,81.32
Perak,LUMUT,74,53645,1081,67157,81.49
Negeri Sembilan,JELEBU,126,38957,586,48522,81.49
Perak,LARUT,56,39620,722,49453,81.58
Perak,TAMBUN,63,86950,960,107763,81.58
Sabah,KOTA BELUD,169,46098,1173,57919,81.62
Kelantan,MACHANG,29,55023,801,68387,81.63
Wilayah Persekutuan (KL),SEPUTEH,122,70129,294,86256,81.64
Pahang,ROMPIN,91,49737,917,61918,81.81
Perak,TELUK INTAN,76,53655,742,66487,81.82
Pahang,BERA,90,47305,767,58711,81.88
Perak,PARIT,69,28990,425,35910,81.91
Sabah,PENAMPANG,174,43108,417,53131,81.92
Sabah,TUARAN,170,43643,958,54400,81.99
Kedah,KUALA KEDAH,10,79167,1111,97753,82.12
Kedah,LANGKAWI,4,34527,604,42697,82.28
Wilayah Persekutuan (KL),TITIWANGSA,119,50386,323,61598,82.32
Negeri Sembilan,KUALA PILAH,129,40237,769,49801,82.34
Pahang,KUALA KRAU,87,38311,613,47264,82.35
Kedah,POKOK SENA,8,70750,869,86892,82.42
Pahang,TEMERLOH,88,61050,865,75081,82.46
Perak,BUKIT GANTANG,59,56863,761,69873,82.47
Selangor,PETALING JAYA,105,115279,968,140920,82.49
Kelantan,JELI,30,38761,400,47470,82.5
Kedah,JERLUN,5,43937,723,54132,82.5
Kedah,MERBOK,14,71350,1108,87782,82.54
Perak,PADANG RENGAS,61,25281,315,30996,82.58
Kelantan,KETEREH,26,53107,781,65238,82.6
Johor,PULAI,161,86893,966,106268,82.68
Kedah,KUBANG PASU,6,60334,770,73881,82.71
Perak,KUALA KANGSAR,67,30056,511,36954,82.72
Negeri Sembilan,PORT DICKSON,132,61334,948,75212,82.81
Pahang,KUANTAN,83,51170,798,62696,82.89
Terengganu,BESUT,33,70935,903,86627,82.93
Wilayah Persekutuan (KL),BATU,115,62805,498,76328,82.94
Kedah,KULIM-BANDAR BAHARU,18,54343,894,66587,82.95
Pahang,BENTONG,89,55106,783,67359,82.97
Kedah,SUNGAI PETANI,15,92534,889,112577,82.99
Selangor,SABAK BERNAM,92,33350,565,40863,83.0
Johor,SEMBRONG,153,36044,598,44137,83.02
Johor,SIMPANG RENGGAM,151,35822,779,43998,83.19
Johor,SEGAMAT,140,45320,726,55350,83.19
Wilayah Persekutuan (KL),LEMBAH PANTAI,121,66305,538,80346,83.19
Pulau Pinang,BUKIT GELUGOR,51,75705,528,91595,83.23
Negeri Sembilan,RASAH,130,85307,303,102838,83.25
Pulau Pinang,BAYAN BARU,52,74849,762,90780,83.29
Pahang,INDERA MAHKOTA,82,63721,622,77208,83.34
Wilayah Persekutuan (KL),SEGAMBUT,117,64727,289,77956,83.4
Perak,PARIT BUNTAR,57,42720,536,51860,83.41
Kedah,JERAI,12,65736,1012,79976,83.46
Selangor,DAMANSARA,106,136280,867,164322,83.46
Sabah,PAPAR,175,35836,543,43586,83.46
Melaka,MASJID TANAH,134,42325,636,51441,83.52
Johor,KOTA TINGGI,156,38193,802,46677,83.54
Kedah,PADANG SERAI,17,70084,827,84834,83.59
Melaka,ALOR GAJAH,135,57815,1007,70364,83.6
Perlis,ARAU,3,39600,690,48187,83.61
Johor,PONTIAN,164,45726,738,55570,83.61
Pulau Pinang,JELUTONG,50,63666,720,76991,83.63
Wilayah Persekutuan (KL),WANGSA MAJU,116,73608,525,88482,83.78
Sabah,BEAUFORT,177,27212,799,33342,84.01
Johor,MUAR,146,42083,636,50843,84.02
Johor,KLUANG,152,80531,921,96915,84.04
Selangor,AMPANG,99,76550,608,91737,84.11
Melaka,KOTA MELAKA,138,105276,1432,126848,84.12
Johor,PAGOH,143,42672,693,51512,84.18
Johor,SEKIJANG,141,37837,558,45596,84.21
Johor,TENGGARA,155,37034,664,44749,84.24
Negeri Sembilan,SEREMBAN,128,91818,1052,110168,84.3
Terengganu,DUNGUN,39,75414,886,90506,84.3
Terengganu,KUALA TERENGGANU,36,86583,767,103611,84.31
Kedah,PENDANG,11,62246,952,74867,84.41
Wilayah Persekutuan (KL),BANDAR TUN RAZAK,124,70206,444,83650,84.46
Johor,BATU PAHAT,150,82137,1097,98543,84.46
Melaka,TANGGA BATU,136,69142,1145,83213,84.47
Johor,BAKRI,145,61800,631,73883,84.5
Pulau Pinang,BAGAN,43,60087,463,71583,84.59
Kedah,SIK,13,41928,729,50385,84.66
Pulau Pinang,BATU KAWAN,46,54705,675,65394,84.69
Johor,TEBRAU,158,103943,274,123033,84.71
Negeri Sembilan,REMBAU,131,73856,1053,88365,84.77
Wilayah Persekutuan (KL),SETIAWANGSA,118,60852,339,72136,84.83
Johor,PARIT SULONG,147,49769,832,59609,84.89
Terengganu,SETIU,34,71978,1244,86247,84.9
Wilayah Persekutuan (KL),KEPONG,114,61404,323,72696,84.91
Selangor,GOMBAK,98,119042,933,141112,85.02
Terengganu,KEMAMAN,40,90504,1126,107593,85.16
Selangor,PANDAN,100,85774,517,101319,85.17
Pulau Pinang,BUKIT MERTAJAM,45,74691,1109,88998,85.17
Selangor,SELAYANG,97,98002,953,116176,85.18
Kedah,PADANG TERAP,7,38923,854,46644,85.28
Pulau Pinang,BALIK PULAU,53,49776,631,59086,85.31
Johor,AYER HITAM,148,38824,556,46157,85.32
Melaka,JASIN,139,61761,912,73432,85.35
Johor,TANJUNG PIAI,165,44948,841,53528,85.54
Johor,PASIR GUDANG,159,105009,1342,124172,85.65
Selangor,HULU SELANGOR,94,85221,1310,100990,85.68
Selangor,SUNGAI BESAR,93,41206,564,48739,85.7
Kedah,BALING,16,90512,1388,107213,85.72
Johor,ISKANDAR PUTERI,162,116588,1987,138299,85.74
Johor,LEDANG,144,65414,1048,77474,85.79
Sabah,KIMANIS,176,25028,385,29618,85.8
Selangor,KLANG,110,127074,1204,149348,85.89
Pulau Pinang,NIBONG TEBAL,47,62179,860,73383,85.9
Terengganu,HULU TERENGGANU,38,62346,871,73487,86.02
Selangor,KAPAR,109,106093,1497,124983,86.08
Pulau Pinang,PERMATANG PAUH,44,69828,658,81789,86.18
Johor,SRI GADING,149,44282,635,52119,86.18
Johor,KULAI,163,84543,976,99147,86.25
Selangor,SUBANG,104,125705,610,146422,86.27
Pulau Pinang,TASEK GELUGOR,42,51904,689,60850,86.43
Selangor,KOTA RAJA,111,128126,966,149021,86.63
Selangor,SUNGAI BULOH,107,77951,686,90707,86.69
Melaka,HANG TUAH JAYA,137,76583,909,89364,86.72
Selangor,TANJONG KARANG,95,40498,531,47198,86.93
Terengganu,KUALA NERUS,35,72105,727,83663,87.05
Selangor,HULU LANGAT,101,88247,929,102363,87.12
Selangor,KUALA LANGAT,112,88097,1131,102406,87.13
Selangor,PUCHONG,103,83478,667,96437,87.25
Terengganu,MARANG,37,90682,1028,104898,87.43
Selangor,KUALA SELANGOR,96,59721,996,69397,87.49
Selangor,SHAH ALAM,108,93243,664,107316,87.51
Pulau Pinang,KEPALA BATAS,41,52302,715,60523,87.6
Selangor,SEPANG,113,90657,1083,104508,87.78
Selangor,BANGI,102,156327,1114,178790,88.06
Wilayah Persekutuan (Putrajaya),PUTRAJAYA,125,24558,146,27306,90.47
